Proteome ID	Organism	Organism ID	Protein count	BUSCO	CPD	Taxonomic lineage
UP000201796	Gordonia phage Bachita	1838061	182		Standard	Viruses, Caudovirales, Siphoviridae, Smoothievirus
UP000189646	Cellvibrio sp. PSBB023 (Strain: PSBB023)	1945512	3892	C:98.5%[S:98%,D:0.4%],F:0%,M:1.5%,n:452	Standard	Bacteria, Proteobacteria, Gammaproteobacteria, Cellvibrionales, Cellvibrionaceae, Cellvibrio, unclassified Cellvibrio
UP000121690	Human papillomavirus 139	1070412	7		Standard	Viruses, Papillomaviridae, Firstpapillomavirinae, Gammapapillomavirus
UP000251800	Abyssibacter profundi (Strain: OUC007)	2182787	3331	C:91.4%[S:90.9%,D:0.4%],F:3.5%,M:5.1%,n:452	Standard	Bacteria, Proteobacteria, Gammaproteobacteria, Salinisphaerales, Salinisphaeraceae, Abyssibacter
UP000236522	bacterium HR29	2035424	2317	C:91.9%[S:91.9%,D:0%],F:3.4%,M:4.7%,n:148	Standard	Bacteria
UP000093592	Mycobacterium kyorinense (Strain: E861)	487514	4276	C:98.6%[S:98.6%,D:0%],F:0.9%,M:0.6%,n:352	Standard	Bacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycobacterium
UP000281706	Streptococcus phage 109751 (Strain: Streptococcus pneumoniae SMRU1351)	2484225	61		Standard	Viruses, Caudovirales, Siphoviridae
UP000018082	Ruminococcus sp. CAG:563 (Strain: MGS:563)	1262961	2054	C:91.3%[S:91.3%,D:0%],F:3.1%,M:5.5%,n:254	Standard	Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus, environmental samples
UP000014408	Corynebacterium pyruviciproducens ATCC BAA-1742 (Strain: ATCC BAA-1742)	1125779	2443	C:99.1%[S:98.9%,D:0.3%],F:0.9%,M:0%,n:352	Standard	Bacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium
UP000014539	Campylobacter ureolyticus ACS-301-V-Sch3b (Strain: ACS-301-V-Sch3b)	883165	1686	C:98.3%[S:98%,D:0.3%],F:0.3%,M:1.4%,n:296	Standard	Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter
UP000005633	Azospira oryzae (strain ATCC BAA-33 / DSM 13638 / PS) (Dechlorosoma suillum) (Strain: ATCC BAA-33 / DSM 13638 / PS)	640081	3432	C:99%[S:98.3%,D:0.7%],F:0.7%,M:0.3%,n:582	Standard	Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Azospira
UP000296720	Streptococcus satellite phage Javan410	2558687	23		Standard	Viruses, unclassified viruses, unclassified bacterial viruses
UP000196027	Oleiphilus messinensis (Strain: ME102)	141451	5456	C:98.7%[S:98%,D:0.7%],F:0.4%,M:0.9%,n:452	Outlier	Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Oleiphilaceae, Oleiphilus
UP000182427	Terriglobus roseus (Strain: GAS232)	392734	4053	C:95.9%[S:95.9%,D:0%],F:1.4%,M:2.7%,n:148	Standard	Bacteria, Acidobacteria, Acidobacteriales, Acidobacteriaceae, Terriglobus
UP000182237	Corynebacterium timonense (Strain: DSM 45434)	441500	2311	C:98.9%[S:98.9%,D:0%],F:1.1%,M:0%,n:352	Standard	Bacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium
UP000195852	bacterium E08(2017)	1932693	1267	C:51.4%[S:51.4%,D:0%],F:3.4%,M:45.3%,n:148	Close to Standard	Bacteria
UP000217344	Lake Sinai virus 1 (Strain: SA)	1041806	3		Standard	Viruses, Riboviria, Sinaivirus
UP000015503	Pseudomonas resinovorans NBRC 106553 (Strain: NBRC 106553)	1245471	5795	C:99.3%[S:98.5%,D:0.9%],F:0.7%,M:0%,n:452	Standard	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas
UP000195336	Anaeromassilibacillus sp. An200 (Strain: An200)	1965587	3479	C:98.4%[S:97.6%,D:0.8%],F:1.6%,M:0%,n:254	Standard	Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Anaeromassilibacillus, unclassified Anaeromassilibacillus
UP000201193	Phytophthora infestans RNA virus 1	640897	3		Standard	Viruses, Riboviria, unclassified Riboviria, unclassified ssRNA viruses, unclassified ssRNA positive-strand viruses
UP000001875	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167) (Strain: ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167)	332952	13500	C:88%[S:87.6%,D:0.4%],F:9.9%,M:2.2%,n:4046	Close to Standard	Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Aspergillus
UP000008957	Fretibacterium fastidiosum (Strain: SGP1)	651822	1434	C:58.1%[S:58.1%,D:0%],F:4.7%,M:37.2%,n:148	Close to Standard	Bacteria, Synergistetes, Synergistia, Synergistales, Synergistaceae, Fretibacterium
UP000277644	Streptomyces sp. WAC06614 (Strain: WAC06614)	2487416	6875	C:97.4%[S:95.7%,D:1.7%],F:0.9%,M:1.7%,n:352	Standard	Bacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces
UP000295260	Flavobacterium dankookense (Strain: DSM 25687)	706186	2803	C:98.6%[S:98.6%,D:0%],F:0.5%,M:0.9%,n:443	Standard	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium
UP000295197	Sphingobacterium alimentarium (Strain: DSM 22362)	797292	3405	C:95.3%[S:95%,D:0.2%],F:2.5%,M:2.3%,n:443	Standard	Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Sphingobacterium
UP000001784	Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB) (Strain: DSM 10017 / MPOB)	335543	4012	C:94.3%[S:88.2%,D:6.1%],F:4.4%,M:1.4%,n:296	Close to Standard	Bacteria, Proteobacteria, Deltaproteobacteria, Syntrophobacterales, Syntrophobacteraceae, Syntrophobacter
UP000296352	Corynebacterium endometrii (Strain: LMM-1653)	2488819	2172	C:98.3%[S:98.3%,D:0%],F:1.1%,M:0.6%,n:352	Standard	Bacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium
UP000008476	Bovine polyomavirus (BPyV) (Bos taurus polyomavirus 1)	1891754	5		Standard	Viruses, Polyomaviridae
UP000193978	Methylocystis bryophila (Strain: S285)	655015	4267	C:90.1%[S:88.2%,D:1.9%],F:5.2%,M:4.7%,n:686	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylocystaceae, Methylocystis
UP000002510	Paenibacillus sp. (strain JDR-2) (Strain: JDR-2)	324057	6210	C:96.2%[S:93.9%,D:2.3%],F:1.7%,M:2.1%,n:526	Standard	Bacteria, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus
UP000184943	Rhodovulum sp. ES.010 (Strain: ES.010)	1882821	3606	C:98.2%[S:97.3%,D:0.9%],F:0.9%,M:0.9%,n:221	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Rhodovulum, unclassified Rhodovulum
UP000094472	Methyloceanibacter superfactus (Strain: R-67175)	1774969	2686	C:69.2%[S:68.8%,D:0.4%],F:7.1%,M:23.6%,n:686	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methyloceanibacter
UP000226308	Moraxella phage Mcat1	1647524	51		Standard	Viruses, Caudovirales, Siphoviridae
UP000077184	Halioglobus sp. HI00S01 (Strain: HI00S01)	1822214	4067	C:98.2%[S:97.8%,D:0.4%],F:0.2%,M:1.5%,n:452	Outlier	Bacteria, Proteobacteria, Gammaproteobacteria, Cellvibrionales, Halieaceae, Halioglobus, unclassified Halioglobus
UP000006375	Gluconobacter oxydans (strain 621H) (Gluconobacter suboxydans) (Strain: 621H)	290633	2626	C:96.4%[S:95.9%,D:0.5%],F:1.8%,M:1.8%,n:221	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Gluconobacter
UP000001639	Salmonella phage 7-11	1054968	151		Outlier	Viruses, Caudovirales, Podoviridae
UP000204171	Proteus phage PM 85	1560283	23		Outlier	Viruses, Caudovirales, Podoviridae, Autographivirinae, Zindervirus, unclassified Zindervirus
UP000204163	Hollyhock yellow vein mosaic virus	944994	6		Standard	Viruses, Geminiviridae, Begomovirus
UP000037600	Catenovulum maritimum (Strain: Q1)	1513271	3470	C:98.5%[S:98%,D:0.4%],F:0%,M:1.5%,n:452	Standard	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Catenovulum
UP000051829	Kitasatospora sp. Root187 (Strain: Root187)	1736486	6308	C:98.6%[S:97.7%,D:0.9%],F:0.3%,M:1.1%,n:352	Standard	Bacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Kitasatospora, unclassified Kitasatospora
UP000203867	Kern Canyon virus (Strain: M03790)	380433	6		Standard	Viruses, Riboviria, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Ledantevirus
UP000203394	Squash leaf curl Yunnan virus	222474	6		Standard	Viruses, Geminiviridae, Begomovirus
UP000202958	Sinorhizobium phage phiN3	1647405	402		Outlier	Viruses, Caudovirales, Myoviridae, Emdodecavirus
UP000004478	Cecembia lonarensis LW9 (Strain: LW9)	1225176	4213	C:96.4%[S:95.7%,D:0.7%],F:2.3%,M:1.4%,n:443	Standard	Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cyclobacteriaceae, Cecembia
UP000204401	Tulip virus X (Strain: J)	167132	5		Standard	Viruses, Riboviria, Tymovirales, Alphaflexiviridae, Potexvirus
UP000142472	Trichechus manatus papillomavirus 4	1435497	6		Standard	Viruses, Papillomaviridae, Firstpapillomavirinae, Rhopapillomavirus
UP000203170	Gordonia phage GMA1	1647470	68		Standard	Viruses, Caudovirales, Siphoviridae
UP000284177	Thermohalobacter berrensis (Strain: CTT3)	99594	2592	C:98.8%[S:97.6%,D:1.2%],F:0.4%,M:0.8%,n:254	Standard	Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Thermohalobacter
UP000246455	Rotavirus B (Strain: RVB/Human-wt/SEN/MRC-DPRU4680/2010/GXP[X])	28876	13		Close to Standard	Viruses, Riboviria, Reoviridae, Sedoreovirinae, Rotavirus
UP000031719	Pseudomonas phage PhiCHU	1589273	73		Standard	Viruses, Caudovirales, Podoviridae, Bruynoghevirus
UP000202606	Asparagus virus 2	39681	5		Standard	Viruses, Riboviria, Bromoviridae, Ilarvirus
UP000176050	Lutibacter sp. LPB0138 (Strain: LPB0138)	1850246	2946	C:99.5%[S:99.5%,D:0%],F:0%,M:0.5%,n:443	Standard	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Lutibacter, unclassified Lutibacter
UP000272365	Hydrogenimonas sp.	2231112	2173	C:95.9%[S:94.9%,D:1%],F:3.4%,M:0.7%,n:296	Close to Standard	Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Hydrogenimonaceae, Hydrogenimonas, unclassified Hydrogenimonas
UP000201690	Beet western yellows virus (Strain: USA)	12042	6		Standard	Viruses, Riboviria, Luteoviridae, Polerovirus
UP000309215	Polyangium fumosum (Strain: DSM 14668)	889272	9827	C:83.4%[S:79.7%,D:3.7%],F:9.1%,M:7.4%,n:296	Standard	Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Sorangiineae, Polyangiaceae, Polyangium
UP000155130	Torque teno mini virus 8	687376	2		Close to Standard	Viruses, Anelloviridae, Betatorquevirus
UP000094313	Pedobacter steynii (Strain: DX4)	430522	5356	C:97.3%[S:95.5%,D:1.8%],F:1.8%,M:0.9%,n:443	Standard	Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter
UP000238479	Rosa chinensis (China rose) (Strain: cv. Old Blush)	74649	45026	C:96.5%[S:91.5%,D:4.9%],F:1.7%,M:1.9%,n:1440	Standard	Eukaryota, Viridiplantae, Streptophyta, Embryophyta, Tracheophyta, Spermatophyta, Magnoliopsida, eudicotyledons, Gunneridae, Pentapetalae, rosids, fabids, Rosales, Rosaceae, Rosoideae, Rosoideae incertae sedis, Rosa
UP000104963	BtRf-AlphaCoV/YN2012	1503293	6		Standard	Viruses, Riboviria, Nidovirales, Cornidovirineae, Coronaviridae, Orthocoronavirinae, Alphacoronavirus, unclassified Alphacoronavirus
UP000018867	Sphingobium sp. C100 (Strain: C100)	1207055	4513	C:94.1%[S:93.7%,D:0.5%],F:2.3%,M:3.6%,n:221	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingobium
UP000199600	Candidatus Propionivibrio aalborgensis	1860101	3621	C:87.5%[S:86.1%,D:1.4%],F:3.8%,M:8.8%,n:582	Standard	Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Propionivibrio
UP000215244	Maribacter cobaltidurans (Strain: B1)	1178778	4004	C:98.9%[S:98.6%,D:0.2%],F:0.2%,M:0.9%,n:443	Standard	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Maribacter
UP000199500	Modestobacter sp. DSM 44400 (Strain: DSM 44400)	1550230	5140	C:98.6%[S:98.3%,D:0.3%],F:0.9%,M:0.6%,n:352	Standard	Bacteria, Actinobacteria, Geodermatophilales, Geodermatophilaceae, Modestobacter, unclassified Modestobacter
UP000215185	Streptococcus merionis (Strain: NCTC13788)	400065	2137	C:98.9%[S:98.9%,D:0%],F:0.2%,M:0.9%,n:443	Standard	Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus
UP000199341	Streptomyces guanduensis (Strain: CGMCC 4.2022)	310781	6769	C:99.4%[S:98.9%,D:0.6%],F:0.3%,M:0.3%,n:352	Standard	Bacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces
UP000214740	Prevotellaceae bacterium KH2P17 (Strain: KH2P17)	1945886	2620	C:97.3%[S:96.4%,D:0.9%],F:1.6%,M:1.1%,n:443	Standard	Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae
UP000280698	Micromonospora sp. PPF5-17 (Strain: PPF5-17)	2487138	5322	C:98%[S:97.7%,D:0.3%],F:0%,M:2%,n:352	Standard	Bacteria, Actinobacteria, Micromonosporales, Micromonosporaceae, Micromonospora, unclassified Micromonospora
UP000030046	Streptococcus pyogenes phage T12 (Bacteriophage T12)	35344	65		Standard	Viruses, Caudovirales, Siphoviridae
UP000003730	Bizionia argentinensis JUB59 (Strain: JUB59)	1046627	2926	C:96.6%[S:96.4%,D:0.2%],F:1.1%,M:2.3%,n:443	Standard	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Bizionia
UP000195869	Anaeromassilibacillus sp. An172 (Strain: An172)	1965570	2508	C:98%[S:97.6%,D:0.4%],F:1.2%,M:0.8%,n:254	Standard	Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Anaeromassilibacillus, unclassified Anaeromassilibacillus
UP000002126	Enterobacteria phage GA (Bacteriophage GA)	12018	4		Standard	Viruses, Riboviria, Leviviridae, Levivirus
UP000263748	Neorhizobium sp. SOG26 (Strain: SOG26)	2060726	4290	C:98.8%[S:98.8%,D:0%],F:1%,M:0.1%,n:686	Outlier	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Rhizobium/Agrobacterium group, Neorhizobium, unclassified Neorhizobium
UP000291613	Hansschlegelia sp. Dub (Strain: Dub)	2528245	3283	C:92.6%[S:92.6%,D:0%],F:4.5%,M:2.9%,n:686	Close to Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylocystaceae, Hansschlegelia, unclassified Hansschlegelia
UP000238801	Hasllibacter halocynthiae (Strain: DSM 29318)	595589	2723	C:98.2%[S:98.2%,D:0%],F:0.5%,M:1.4%,n:221	Close to Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Hasllibacter
UP000198122	Kytococcus aerolatus (Strain: DSM 22179)	592308	2173	C:96.6%[S:96.3%,D:0.3%],F:1.1%,M:2.3%,n:352	Standard	Bacteria, Actinobacteria, Micrococcales, Dermacoccaceae, Kytococcus
UP000207584	Sanxia tombus-like virus 3 (Strain: SXXX37381)	1923387	2		Standard	Viruses, Riboviria, unclassified Riboviria
UP000289966	Streptomyces phage Janus	2510525	78		Standard	Viruses, Caudovirales, Siphoviridae, Arquatrovirinae, Arequatrovirus, unclassified Arequatrovirus
UP000238362	Prauserella shujinwangii (Strain: CGMCC 4.7125)	1453103	5884	C:100%[S:100%,D:0%],F:0%,M:0%,n:352	Standard	Bacteria, Actinobacteria, Pseudonocardiales, Pseudonocardiaceae, Prauserella
UP000202393	Hubei mosquito virus 1 (Strain: mosHB236488)	1922925	1		Close to Standard	Viruses, Riboviria, unclassified Riboviria
UP000296926	Streptococcus satellite phage Javan463	2558714	23		Standard	Viruses, unclassified viruses, unclassified bacterial viruses
UP000051141	Sphingopyxis sp. Root1497 (Strain: Root1497)	1736474	4384	C:95.5%[S:94.6%,D:0.9%],F:0.9%,M:3.6%,n:221	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingopyxis
UP000011912	Lactobacillus saerimneri 30a (Strain: 30a)	1227363	1519	C:98%[S:97.7%,D:0.2%],F:0.7%,M:1.4%,n:443	Standard	Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus
UP000201615	Beihai picorna-like virus 96 (Strain: HOU158314)	1922641	1		Close to Standard	Viruses, Riboviria, unclassified Riboviria
UP000237682	Labrys okinawensis (Strain: RP1T)	346911	5818	C:95.9%[S:94.6%,D:1.3%],F:2.6%,M:1.5%,n:686	Close to Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Labrys
UP000251135	Pseudoarcobacter caeni (Strain: RW17-10)	1912877	2336	C:97.6%[S:96.6%,D:1%],F:1%,M:1.4%,n:296	Standard	Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Arcobacter group, Pseudoarcobacter
UP000166181	Nairobi sheep disease virus	194540	3		Standard	Viruses, Riboviria, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Nairoviridae, Orthonairovirus
UP000198633	Clostridiales bacterium CHKCI006	1780379	3288	C:86.6%[S:85.4%,D:1.2%],F:4.3%,M:9.1%,n:254	Standard	Bacteria, Firmicutes, Clostridia, Clostridiales
UP000198616	Ruminococcus bromii (Strain: YE282)	40518	2484	C:97.6%[S:97.2%,D:0.4%],F:2.4%,M:0%,n:254	Outlier	Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus
UP000011185	Trachipleistophora hominis (Microsporidian parasite)	72359	3212	C:90.9%[S:90.7%,D:0.2%],F:7.7%,M:1.4%,n:518	Standard	Eukaryota, Fungi, Fungi incertae sedis, Microsporidia, Pleistophoridae, Trachipleistophora
UP000225045	Arthrobacter phage Wilde	1772323	109		Standard	Viruses, Caudovirales, Siphoviridae, Tankvirus, unclassified Tankvirus
UP000225122	Corynebacterium phage IME1320_01	1965535	53		Standard	Viruses, Caudovirales, Siphoviridae
UP000249547	Chitinophaga skermanii (Strain: DSM 23857)	331697	5113	C:94.8%[S:93%,D:1.8%],F:3.8%,M:1.4%,n:443	Standard	Bacteria, Bacteroidetes, Chitinophagia, Chitinophagales, Chitinophagaceae, Chitinophaga
UP000240653	Mesorhizobium soli (Strain: JCM 19897)	1295366	5837	C:99.7%[S:99.7%,D:0%],F:0.3%,M:0%,n:686	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, Mesorhizobium
UP000249445	Paraburkholderia sp. PDC91 (Strain: PDC91)	2135498	6876	C:99.5%[S:98.1%,D:1.4%],F:0.5%,M:0%,n:582	Standard	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Paraburkholderia
UP000280177	Mycobacterium phage NicoleTera	2315713	93		Standard	Viruses, Caudovirales, Siphoviridae, Fromanvirus, unclassified Fromanvirus
UP000003336	Lachnospiraceae bacterium 3_1_57FAA_CT1 (Strain: 3_1_57FAA_CT1)	658086	6505	C:99.2%[S:97.6%,D:1.6%],F:0.4%,M:0.4%,n:254	Outlier	Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae
UP000260665	Rhodoferax sp. IMCC26218 (Strain: IMCC26218)	2184758	4436	C:98.6%[S:97.8%,D:0.9%],F:1%,M:0.3%,n:582	Standard	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Rhodoferax, unclassified Rhodoferax
UP000258927	Maritalea myrionectae (Strain: HL2708#5)	454601	3695	C:88%[S:87.6%,D:0.4%],F:5.4%,M:6.6%,n:686	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Maritalea
UP000305739	Polyangium sp. SDU3-1 (Strain: SDU3-1)	2567896	9297	C:83.1%[S:79.1%,D:4.1%],F:7.8%,M:9.1%,n:296	Standard	Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Sorangiineae, Polyangiaceae, Polyangium, unclassified Polyangium
UP000304912	Salinimonas sp. KX18D6 (Strain: KX18D6)	2572577	3632	C:98.9%[S:98.7%,D:0.2%],F:0.7%,M:0.4%,n:452	Standard	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Salinimonas, unclassified Salinimonas
UP000007174	Colletotrichum higginsianum (strain IMI 349063) (Crucifer anthracnose fungus) (Strain: IMI 349063)	759273	16110	C:79.1%[S:78.9%,D:0.2%],F:15.3%,M:5.7%,n:3725	Close to Standard	Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Hypocreomycetidae, Glomerellales, Glomerellaceae, Colletotrichum
UP000052976	Corvus brachyrhynchos (American crow)	85066	13621	C:96.6%[S:95.8%,D:0.9%],F:1%,M:2.4%,n:4915	Standard	Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Passeriformes, Corvoidea, Corvidae, Corvus
UP000207641	Banana streak UL virus	1016856	3		Standard	Viruses, Ortervirales, Caulimoviridae, Badnavirus
UP000246469	Escherichia phage SH2026Stx1	2108115	79		Standard	Viruses, Caudovirales, Podoviridae, Sepvirinae, Traversvirus, unclassified Traversvirus
UP000005604	Vibrio metschnikovii CIP 69.14 (Strain: CIP 69.14)	675813	3034	C:93.1%[S:93.1%,D:0%],F:4.2%,M:2.7%,n:452	Close to Standard	Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio
UP000186743	Rhodococcus sp. CUA-806 (Strain: CUA-806)	1517936	3844	C:63.9%[S:63.1%,D:0.9%],F:2.8%,M:33.2%,n:352	Standard	Bacteria, Actinobacteria, Corynebacteriales, Nocardiaceae, Rhodococcus
UP000010482	Dactylococcopsis salina PCC 8305 (Strain: PCC 8305)	13035	3305	C:97.8%[S:97.7%,D:0.1%],F:1.3%,M:0.8%,n:834	Standard	Bacteria, Cyanobacteria, Synechococcales, Synechococcaceae, Dactylococcopsis
UP000316313	Swingsia samuiensis (Strain: AH83)	1293412	1984	C:99.1%[S:99.1%,D:0%],F:0%,M:0.9%,n:221	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Swingsia
UP000245119	Pomacea canaliculata (Golden apple snail)	400727	21377	C:83.1%[S:81.4%,D:1.7%],F:5.2%,M:11.7%,n:978	Standard	Eukaryota, Metazoa, Spiralia, Lophotrochozoa, Mollusca, Gastropoda, Caenogastropoda, Architaenioglossa, Ampullarioidea, Ampullariidae, Pomacea
UP000054717	Caballeronia telluris	326475	6225	C:99.5%[S:99%,D:0.5%],F:0.3%,M:0.2%,n:582	Standard	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Caballeronia
UP000245064	Maritimibacter sp. 55A14 (Strain: 55A14)	2174844	3708	C:99.5%[S:98.2%,D:1.4%],F:0%,M:0.5%,n:221	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Maritimibacter, unclassified Maritimibacter
UP000293566	Gordonia phage Barco	2517926	77		Standard	Viruses, Caudovirales, Siphoviridae
UP000285726	Pseudonocardiaceae bacterium YIM PH 21723 (Strain: YIM PH 21723)	2340915	7085	C:98.9%[S:98.6%,D:0.3%],F:1.1%,M:0%,n:352	Standard	Bacteria, Actinobacteria, Pseudonocardiales, Pseudonocardiaceae
UP000285456	Oceanobacillus profundus (Strain: DSM 18246)	372463	4512	C:98.5%[S:98.1%,D:0.4%],F:0.6%,M:1%,n:526	Standard	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Oceanobacillus
UP000284824	Nonomuraea polychroma (Strain: DSM 43925)	46176	10251	C:98.9%[S:96.6%,D:2.3%],F:0.6%,M:0.6%,n:352	Standard	Bacteria, Actinobacteria, Streptosporangiales, Streptosporangiaceae, Nonomuraea
UP000035062	Alishewanella agri BL06 (Strain: BL06)	1195246	3152	C:99.6%[S:99.1%,D:0.4%],F:0.4%,M:0%,n:452	Standard	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Alishewanella
UP000253843	Trichoplax sp. H2 (Strain: Panama)	287889	12150	C:95.3%[S:94.1%,D:1.2%],F:2.4%,M:2.4%,n:978	Close to Standard	Eukaryota, Metazoa, Placozoa, Trichoplacidae, Trichoplax, unclassified Trichoplax
UP000054081	Pygoscelis adeliae (Adelie penguin)	9238	12848	C:97.6%[S:96.8%,D:0.8%],F:0.9%,M:1.4%,n:4915	Standard	Eukaryota, Metazoa, Chordata, Craniata, Vertebrata, Euteleostomi, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Sphenisciformes, Spheniscidae, Pygoscelis
UP000015543	Thermofilum adornatum (Strain: 1910b)	1365176	1896		Standard	Archaea, Crenarchaeota, Thermoprotei, Thermoproteales, Thermofilaceae, Thermofilum
UP000281771	Streptococcus minor (Strain: OH4621_COT-116)	229549	1898	C:99.3%[S:99.3%,D:0%],F:0%,M:0.7%,n:443	Standard	Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus
UP000150214	Mobuck virus	1408137	10		Standard	Viruses, Riboviria, Reoviridae, Sedoreovirinae, Orbivirus
UP000290661	Ecklonia radiata-associated virus 5	2480195	2		Standard	Viruses, Circoviridae, unclassified Circoviridae
UP000003959	Moorea producens 3L (Strain: 3L)	489825	7382	C:94%[S:93.4%,D:0.6%],F:4.4%,M:1.6%,n:834	Outlier	Bacteria, Cyanobacteria, Oscillatoriophycideae, Oscillatoriales, Oscillatoriaceae, Moorea
UP000099447	Papio hamadryas papillomavirus 1	990303	8		Standard	Viruses, Papillomaviridae, Firstpapillomavirinae, Alphapapillomavirus
UP000204194	Beihai tombus-like virus 15 (Strain: BHBJDX18752)	1922718	2		Standard	Viruses, Riboviria, unclassified Riboviria
